Time,Gauge 1,Gauge 2,Units
2025-12-17 16:27:47,Off,100300.0,Pascal
2025-12-17 16:27:49,Off,100300.0,Pascal
2025-12-17 16:27:51,Off,100300.0,Pascal
2025-12-17 16:27:53,Off,100300.0,Pascal
2025-12-17 16:27:56,Off,100300.0,Pascal
2025-12-17 16:27:58,Off,100300.0,Pascal
2025-12-17 16:28:00,Off,100300.0,Pascal
2025-12-17 16:28:02,Off,100300.0,Pascal
2025-12-17 16:28:04,Off,100300.0,Pascal
2025-12-17 16:28:07,Off,100300.0,Pascal
2025-12-17 16:28:09,Off,100300.0,Pascal
2025-12-17 16:28:11,Off,100300.0,Pascal
2025-12-17 16:28:13,Off,100300.0,Pascal
2025-12-17 16:28:16,Off,100300.0,Pascal
2025-12-17 16:28:18,Off,100300.0,Pascal
2025-12-17 16:28:20,Off,100300.0,Pascal
2025-12-17 16:28:22,Off,100300.0,Pascal
2025-12-17 16:28:24,Off,100300.0,Pascal
2025-12-17 16:28:27,Off,100300.0,Pascal
2025-12-17 16:28:29,Off,100300.0,Pascal
2025-12-17 16:28:31,Off,100300.0,Pascal
2025-12-17 16:28:33,Off,100300.0,Pascal
2025-12-17 16:28:36,Off,100300.0,Pascal
2025-12-17 16:28:38,Off,100300.0,Pascal
2025-12-17 16:28:40,Off,100300.0,Pascal
2025-12-17 16:28:42,Off,100300.0,Pascal
2025-12-17 16:28:44,Off,100300.0,Pascal
2025-12-17 16:28:47,Off,100300.0,Pascal
2025-12-17 16:28:49,Off,100300.0,Pascal
2025-12-17 16:28:51,Off,100300.0,Pascal
2025-12-17 16:28:53,Off,100300.0,Pascal
2025-12-17 16:28:55,Off,100300.0,Pascal
2025-12-17 16:28:58,Off,100300.0,Pascal
2025-12-17 16:29:00,Off,100300.0,Pascal
2025-12-17 16:29:02,Off,100300.0,Pascal
2025-12-17 16:29:04,Off,100300.0,Pascal
2025-12-17 16:29:07,Off,100300.0,Pascal
2025-12-17 16:29:09,Off,100300.0,Pascal
2025-12-17 16:29:11,Off,100300.0,Pascal
2025-12-17 16:29:13,Off,100300.0,Pascal
2025-12-17 16:29:15,Off,100300.0,Pascal
2025-12-17 16:29:18,Off,100300.0,Pascal
2025-12-17 16:29:20,Off,100300.0,Pascal
2025-12-17 16:29:22,Off,100300.0,Pascal
2025-12-17 16:29:24,Off,100300.0,Pascal
2025-12-17 16:29:26,Off,100300.0,Pascal
2025-12-17 16:29:29,Off,100300.0,Pascal
2025-12-17 16:29:31,Off,100300.0,Pascal
2025-12-17 16:29:33,Off,100300.0,Pascal
2025-12-17 16:29:35,Off,100300.0,Pascal
2025-12-17 16:29:38,Off,100300.0,Pascal
2025-12-17 16:29:40,Off,100300.0,Pascal
2025-12-17 16:29:42,Off,100300.0,Pascal
2025-12-17 16:29:44,Off,100300.0,Pascal
2025-12-17 16:29:46,Off,100300.0,Pascal
2025-12-17 16:29:49,Off,100300.0,Pascal
2025-12-17 16:29:51,Off,100300.0,Pascal
2025-12-17 16:29:53,Off,100300.0,Pascal
2025-12-17 16:29:55,Off,100300.0,Pascal
2025-12-17 16:29:58,Off,100300.0,Pascal
